,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
2099,2012.0,2,Eagles,0.0,0.0,4.0,Ravens,111.0,16.0,14.0,DST,99.0,2.0,0.0,210.0,0.0,1.0
2138,2012.0,3,Eagles,0.0,0.5,2.5,Cardinals,162.5,19.5,10.5,DST,105.0,2.0,0.0,267.5,0.0,0.5
2162,2012.0,4,Eagles,0.0,0.3333333333333333,1.6666666666666667,Giants,172.66666666666666,22.0,8.333333333333334,DST,103.0,2.3333333333333335,0.0,275.6666666666667,0.0,0.6666666666666666
2199,2012.0,5,Eagles,0.0,0.25,1.5,Steelers,206.75,20.75,7.75,DST,91.5,1.75,0.0,298.25,0.0,0.5
2226,2012.0,6,Eagles,0.0,0.2,1.2,Lions,209.4,19.8,7.0,DST,97.8,1.4,0.0,307.2,0.0,0.6
2277,2012.0,8,Eagles,0.0,0.16666666666666666,1.1666666666666667,Falcons,226.33333333333334,20.833333333333332,6.333333333333333,DST,104.5,1.1666666666666667,0.0,330.8333333333333,0.0,0.5
2301,2012.0,9,Eagles,0.14285714285714285,0.14285714285714285,1.0,Saints,229.14285714285714,22.142857142857142,6.0,DST,110.42857142857143,1.2857142857142858,0.0,339.57142857142856,0.0,0.42857142857142855
2333,2012.0,10,Eagles,0.125,0.375,0.875,Cowboys,229.375,22.875,6.0,DST,114.125,1.375,0.0,343.5,0.0,0.5
2365,2012.0,11,Eagles,0.1111111111111111,0.3333333333333333,0.7777777777777778,Redskins,225.33333333333334,24.555555555555557,5.666666666666667,DST,112.66666666666667,1.5555555555555556,0.0,338.0,0.0,0.4444444444444444
2398,2012.0,12,Eagles,0.1,0.3,0.7,Panthers,222.0,25.2,5.3,DST,118.3,1.6,0.0,340.3,0.0,0.5
2417,2012.0,13,Eagles,0.09090909090909091,0.2727272727272727,0.6363636363636364,Cowboys,228.0909090909091,25.636363636363637,5.0,DST,117.45454545454545,1.6363636363636365,0.0,345.54545454545456,0.0,0.45454545454545453
2461,2012.0,14,Eagles,0.08333333333333333,0.25,0.5833333333333334,Buccaneers,233.58333333333334,26.666666666666668,5.25,DST,117.91666666666667,1.6666666666666667,0.0,351.5,0.08333333333333333,0.5
2479,2012.0,15,Eagles,0.07692307692307693,0.23076923076923078,0.5384615384615384,Bengals,229.30769230769232,26.23076923076923,5.076923076923077,DST,119.3076923076923,1.6923076923076923,0.0,348.61538461538464,0.07692307692307693,0.5384615384615384
2520,2012.0,16,Eagles,0.07142857142857142,0.35714285714285715,0.5,Redskins,219.5,26.785714285714285,5.428571428571429,DST,122.0,2.0,0.0,341.5,0.07142857142857142,0.5
2559,2012.0,17,Eagles,0.06666666666666667,0.3333333333333333,0.5333333333333333,Giants,217.2,26.8,5.333333333333333,DST,122.4,1.9333333333333333,0.0,339.6,0.06666666666666667,0.4666666666666667
521,2013.0,1,Eagles,0.0,1.0,2.0,Redskins,308.0,27.0,12.0,DST,74.0,3.0,1.0,382.0,0.0,1.0
570,2013.0,2,Eagles,0.0,1.0,2.0,Chargers,308.0,27.0,12.0,DST,74.0,3.0,1.0,382.0,0.0,1.0
596,2013.0,3,Eagles,0.0,1.5,1.0,Chiefs,360.5,30.0,8.5,DST,100.0,2.0,0.5,460.5,0.0,0.5
635,2013.0,4,Eagles,0.0,1.0,0.6666666666666666,Broncos,323.0,28.666666666666668,7.666666666666667,DST,115.33333333333333,3.0,0.3333333333333333,438.3333333333333,0.0,0.3333333333333333
649,2013.0,5,Eagles,0.0,0.75,0.5,Giants,325.0,34.5,6.0,DST,121.75,2.5,0.25,446.75,0.0,0.5
683,2013.0,6,Eagles,0.0,0.8,1.0,Buccaneers,326.0,31.8,6.8,DST,108.0,2.2,0.2,434.0,0.0,0.6
711,2013.0,7,Eagles,0.0,0.6666666666666666,1.0,Cowboys,314.5,29.833333333333332,7.0,DST,105.66666666666667,2.1666666666666665,0.16666666666666666,420.1666666666667,0.0,0.6666666666666666
736,2013.0,8,Eagles,0.0,0.5714285714285714,1.1428571428571428,Giants,311.57142857142856,28.0,7.428571428571429,DST,101.14285714285714,2.142857142857143,0.14285714285714285,412.7142857142857,0.0,0.5714285714285714
760,2013.0,9,Eagles,0.0,0.625,1.0,Raiders,302.25,26.375,8.125,DST,99.5,2.0,0.125,401.75,0.125,0.5
