,Points,Receptions,Pass 2PT,Pass Interceptions,Receiving 2PT,Rush TD,Year,Pass Completions,Receiving TD,Fumble TD,Pass TD,Rush 2PT,Pass Attempts,Away Games,Rush Yards,Pass Yards,Receiving Yards,Rush Attempts,Week,Fumbles Lost,Name,Opponent,Position
102,0.0,1.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1,0.0,Michael Crabtree,Seahawks,WR
103,0.0,4.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,1,0.0,Keary Colbert,Bills,WR
104,4.0,0.0,0.0,1.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,0.0,0.0,9.0,1,0.0,Brad Smith,Chiefs,WR
105,1024.0,81.0,0.0,0.0,0.0,0.0,2011,0.0,9.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,20449.0,1.0,2,0.0,Miles Austin,49ers,WR
106,841.0,169.0,0.0,0.0,0.0,0.0,2011,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29241.0,1.0,2,0.0,Jeremy Maclin,Falcons,WR
107,841.0,100.0,0.0,0.0,0.0,0.0,2011,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29584.0,0.0,2,0.0,Vincent Jackson,Patriots,WR
108,484.0,25.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,1.0,625.0,0.0,21316.0,1.0,2,0.0,Denarius Moore,Bills,WR
109,484.0,25.0,0.0,0.0,0.0,0.0,2011,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12769.0,0.0,2,1.0,Eric Decker,Bengals,WR
110,361.0,49.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17689.0,0.0,2,0.0,Larry Fitzgerald,Redskins,WR
111,361.0,81.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18225.0,0.0,2,0.0,Kenny Britt,Ravens,WR
112,324.0,64.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15876.0,0.0,2,0.0,Mike Wallace,Seahawks,WR
113,324.0,100.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15376.0,0.0,2,0.0,A.J. Green,Broncos,WR
114,324.0,9.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14884.0,0.0,2,0.0,Danario Alexander,Giants,WR
115,256.0,9.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10609.0,0.0,2,0.0,Devery Henderson,Bears,WR
116,225.0,64.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9216.0,0.0,2,0.0,Stevie Johnson,Raiders,WR
117,225.0,49.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8649.0,0.0,2,0.0,Andre Johnson,Dolphins,WR
118,196.0,36.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24336.0,0.0,2,1.0,Steve Smith,Packers,WR
119,196.0,1.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7056.0,0.0,2,0.0,Jordy Nelson,Panthers,WR
120,196.0,100.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6889.0,0.0,2,0.0,David Nelson,Raiders,WR
121,196.0,9.0,0.0,0.0,0.0,0.0,2011,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.0,0.0,2,0.0,Calvin Johnson,Chiefs,WR
122,169.0,16.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18496.0,0.0,2,0.0,Jerome Simpson,Broncos,WR
123,169.0,36.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6241.0,0.0,2,0.0,Brandon Marshall,Texans,WR
124,144.0,25.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3721.0,0.0,2,0.0,Santana Moss,Cardinals,WR
125,144.0,64.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16641.0,0.0,2,0.0,Deion Branch,Chargers,WR
126,121.0,4.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3025.0,0.0,2,0.0,Greg Jennings,Panthers,WR
127,121.0,25.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,144.0,0.0,10201.0,1.0,2,0.0,Dwayne Bowe,Lions,WR
128,100.0,16.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2401.0,0.0,2,0.0,Brandon LaFell,Packers,WR
129,100.0,9.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764.0,0.0,2,0.0,Santonio Holmes,Jaguars,WR
130,81.0,49.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9801.0,0.0,2,0.0,Nate Washington,Ravens,WR
131,81.0,36.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8464.0,0.0,2,0.0,Mike Sims-Walker,Giants,WR
132,81.0,9.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1089.0,0.0,2,0.0,Dane Sanzenbacher,Saints,WR
133,81.0,36.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9604.0,0.0,2,0.0,Preston Parker,Min,WR
134,81.0,16.0,0.0,0.0,0.0,0.0,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444.0,0.0,2,0.0,Hakeem Nicks,Rams,WR
135,81.0,9.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9216.0,0.0,2,0.0,Jesse Holley,49ers,WR
136,81.0,49.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8649.0,0.0,2,0.0,Nate Burleson,Chiefs,WR
137,64.0,25.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7921.0,0.0,2,0.0,Titus Young,Chiefs,WR
