50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
0,4,3,Stephen Gostkowski,@Mia,11.0,K,13,2,2,2012
0,4,3,Mason Crosby,Min,11.0,K,13,2,2,2012
2,3,2,Greg Zuerlein,SF,10.0,K,13,0,0,2012
0,4,3,Lawrence Tynes,@Was,10.0,K,13,1,1,2012
0,3,3,Dan Carpenter,NE,10.0,K,13,1,1,2012
0,2,2,Alex Henery,@Dal,9.0,K,13,3,3,2012
1,2,2,Garrett Hartley,@Atl,9.0,K,13,1,1,2012
0,2,2,Justin Tucker,Pit,8.0,K,13,2,2,2012
0,2,2,Mike Nugent,@SD,8.0,K,13,2,2,2012
1,1,1,Shayne Graham,@Ten,8.0,K,13,3,3,2012
0,3,2,Phil Dawson,@Oak,8.0,K,13,2,2,2012
0,1,1,Dan Bailey,Phi,8.0,K,13,5,5,2012
0,2,1,Matt Prater,TB,7.0,K,13,4,4,2012
0,3,2,Nick Novak,Cin,7.0,K,13,1,1,2012
1,2,1,Sebastian Janikowski,Cle,7.0,K,13,2,2,2012
0,3,2,David Akers,@Stl,7.0,K,13,1,1,2012
0,2,2,Jay Feely,@NYJ,6.0,K,13,0,0,2012
0,0,0,Adam Vinatieri,@Det,5.0,K,13,5,5,2012
0,1,1,Stephen Hauschka,@Chi,5.0,K,13,2,2,2012
0,1,1,Robbie Gould,Sea,5.0,K,13,2,2,2012
0,1,1,Kai Forbath,NYG,5.0,K,13,2,2,2012
0,1,1,Josh Scobee,@Buf,4.0,K,13,1,1,2012
0,1,1,Rob Bironas,Hou,4.0,K,13,1,1,2012
0,0,0,Graham Gano,@KC,3.0,K,13,3,3,2012
0,1,0,Blair Walsh,@GB,2.0,K,13,2,2,2012
0,2,0,Nick Folk,Ari,1.0,K,13,1,1,2012
0,0,0,Brandon Fields,NE,0.0,K,13,0,0,2012
0,3,3,Stephen Hauschka,Ari,16.0,K,14,7,7,2012
1,4,4,Josh Brown,Dal,15.0,K,14,1,1,2012
0,4,4,Matt Prater,@Oak,14.0,K,14,2,2,2012
1,2,2,Nick Novak,@Pit,12.0,K,14,4,4,2012
0,3,3,Graham Gano,Atl,12.0,K,14,3,3,2012
0,3,3,Phil Dawson,KC,12.0,K,14,3,3,2012
1,2,2,Adam Vinatieri,Ten,11.0,K,14,3,3,2012
