,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
134,1,1,1,Sea,205,28,14.00,DST,218,2.0,0,Indianapolis ColtsIndianapolis,423,1,5,2013
135,0,1,1,Bal,251,26,13.00,DST,133,2.0,0,Miami DolphinsMiami,384,1,5,2013
136,0,0,0,Det,222,9,12.00,DST,64,5.0,0,Green Bay PackersGreen Bay,286,0,5,2013
137,0,1,3,@NYG,330,21,10.00,DST,53,1.0,0,Philadelphia EaglesPhiladelphia,383,0,5,2013
138,1,2,0,@Ind,208,34,10.00,DST,109,2.0,1,Seattle SeahawksSeattle,317,0,5,2013
139,0,0,3,@Ari,160,22,9.00,DST,90,2.0,0,Carolina PanthersCarolina,250,0,5,2013
140,0,1,0,@Chi,340,18,9.00,DST,94,3.0,0,New Orleans SaintsNew Orleans,434,0,5,2013
141,0,1,1,@Dal,470,48,8.00,DST,52,4.0,0,Denver BroncosDenver,522,0,5,2013
142,0,0,0,@Mia,272,23,7.00,DST,22,6.0,0,Baltimore RavensBaltimore,294,0,5,2013
143,0,1,1,KC,233,26,7.00,DST,120,2.0,0,Tennessee TitansTennessee,353,0,5,2013
144,0,0,0,@Cle,199,37,5.00,DST,91,5.0,0,Buffalo BillsBuffalo,290,0,5,2013
145,0,0,0,@Oak,195,27,5.00,DST,104,4.0,0,San Diego ChargersSan Diego,299,0,5,2013
146,0,0,0,NYJ,170,30,4.00,DST,118,4.0,0,Atlanta FalconsAtlanta,288,0,5,2013
147,0,1,1,Den,414,51,4.00,DST,103,0.0,0,Dallas CowboysDallas,517,0,5,2013
148,0,1,0,@Atl,299,28,4.00,DST,64,2.0,0,New York JetsNY Jets,363,0,5,2013
149,0,0,0,NO,283,26,2.00,DST,64,1.0,0,Chicago BearsChicago,347,0,5,2013
150,0,0,0,@GB,269,22,2.00,DST,180,1.0,0,Detroit LionsDetroit,449,0,5,2013
151,0,0,0,@Stl,208,34,2.00,DST,143,2.0,0,Jacksonville JaguarsJacksonville,351,0,5,2013
152,0,0,0,@SF,107,34,1.00,DST,177,1.0,0,Houston TexansHouston,284,0,5,2013
153,0,0,0,Phi,299,36,1.00,DST,140,1.0,0,New York GiantsNY Giants,439,0,5,2013
154,0,2,2,@Hou,267,13,32.00,DST,153,5.0,0,St. Louis RamsSt. Louis,420,2,6,2013
155,0,0,3,Oak,153,7,28.00,DST,121,9.0,0,Kansas City ChiefsKansas City,274,1,6,2013
156,0,1,1,Was,217,16,17.00,DST,216,3.0,0,Dallas CowboysDallas,433,1,6,2013
157,0,0,2,@NYJ,184,6,17.00,DST,83,3.0,0,Pittsburgh SteelersPittsburgh,267,0,6,2013
158,0,2,0,@Sea,253,20,16.00,DST,151,2.0,0,Tennessee TitansTennessee,404,1,6,2013
159,0,2,2,Ari,294,20,15.00,DST,109,1.0,1,San Francisco 49ersSan Francisco,403,0,6,2013
160,0,0,2,@Min,215,10,14.00,DST,75,3.0,0,Carolina PanthersCarolina,290,0,6,2013
161,0,0,3,NYG,232,21,14.00,DST,123,1.0,0,Chicago BearsChicago,355,1,6,2013
162,0,0,2,Ten,157,13,14.00,DST,66,3.0,0,Seattle SeahawksSeattle,223,0,6,2013
163,0,2,1,@Den,295,35,12.00,DST,112,0.0,0,Jacksonville JaguarsJacksonville,407,1,6,2013
164,0,1,1,GB,298,19,11.00,DST,140,3.0,0,Baltimore RavensBaltimore,438,0,6,2013
165,0,1,0,@Bal,313,17,11.00,DST,47,5.0,0,Green Bay PackersGreen Bay,360,0,6,2013
166,0,0,2,Jax,291,19,10.00,DST,71,2.0,0,Denver BroncosDenver,362,0,6,2013
167,0,0,2,@Cle,269,17,10.00,DST,126,2.0,0,Detroit LionsDetroit,395,0,6,2013
168,0,0,1,Ind,193,9,10.00,DST,74,1.0,0,San Diego ChargersSan Diego,267,0,6,2013
169,0,1,0,@Buf,192,24,8.00,DST,130,5.0,0,Cincinnati BengalsCincinnati,322,0,6,2013
170,0,0,0,Pit,255,19,8.00,DST,73,4.0,0,New York JetsNY Jets,328,0,6,2013
171,0,0,1,@TB,257,20,8.00,DST,94,2.0,0,Philadelphia EaglesPhiladelphia,351,0,6,2013
172,0,0,1,@NE,235,30,7.00,DST,141,5.0,0,New Orleans SaintsNew Orleans,376,0,6,2013
173,0,1,1,@SF,238,32,6.00,DST,149,2.0,0,Arizona CardinalsArizona,387,0,6,2013
174,0,0,1,Cin,318,27,6.00,DST,165,3.0,0,Buffalo BillsBuffalo,483,0,6,2013
175,0,0,0,@SD,227,19,6.00,DST,147,2.0,0,Indianapolis ColtsIndianapolis,374,0,6,2013
176,0,1,1,NO,230,27,6.00,DST,131,1.0,0,New England PatriotsNew England,361,0,6,2013
177,0,1,0,@KC,105,24,6.00,DST,111,3.0,0,Oakland RaidersOakland,216,0,6,2013
178,0,0,1,Det,248,31,3.00,DST,118,1.0,0,Cleveland BrownsCleveland,366,0,6,2013
179,0,1,0,Phi,287,31,3.00,DST,138,1.0,0,Tampa Bay BuccaneersTampa Bay,425,0,6,2013
180,0,0,1,@Dal,165,31,3.00,DST,48,1.0,0,Washington RedskinsWashington,213,0,6,2013
181,0,0,0,Car,236,35,1.00,DST,131,1.0,0,Minnesota VikingsMinnesota,367,0,6,2013
182,0,0,0,@Chi,262,27,1.00,DST,110,0.0,0,New York GiantsNY Giants,372,0,6,2013
183,0,0,0,Stl,117,38,0.00,DST,99,0.0,0,Houston TexansHouston,216,0,6,2013
