,Unnamed: 0,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
271,271,0,1,0,Bears,268,16,11.0,DST,55,5.0,0,Packers,323,0,10,2017
272,272,0,0,1,Bills,129,10,11.0,DST,69,2.0,0,Saints,198,0,10,2017
273,273,0,1,1,Titans,236,24,9.0,DST,180,4.0,0,Bengals,416,0,10,2017
274,274,1,0,1,Steelers,228,20,9.0,DST,88,1.0,0,Colts,316,0,10,2017
275,275,0,0,1,Colts,196,17,9.0,DST,71,3.0,0,Steelers,267,0,10,2017
276,276,0,2,0,Bengals,255,20,9.0,DST,53,1.0,0,Titans,308,0,10,2017
277,277,0,1,1,Chargers,235,17,8.0,DST,87,0.0,0,Jaguars,322,0,10,2017
278,278,0,0,1,Buccaneers,181,15,7.0,DST,90,1.0,0,Jets,271,0,10,2017
279,279,0,0,0,Steelers,212,22,6.0,DST,75,5.0,0,Cardinals,287,0,10,2017
280,280,0,0,1,Lions,241,38,6.0,DST,104,4.0,0,Browns,345,0,10,2017
281,281,0,1,0,Giants,260,21,6.0,DST,114,3.0,0,49ers,374,0,10,2017
282,282,0,0,0,Packers,182,23,4.0,DST,160,3.0,0,Bears,342,0,10,2017
283,283,0,0,1,Falcons,204,27,4.0,DST,132,1.0,0,Cowboys,336,0,10,2017
