Year,Week,Name,50+,FGA,FGM,Opponent,Points,Position,XPA,XPM,Away Games
2013,7,Rian Lindell,0,3,3,Falcons,11.0,K,2,2,1
2013,7,Robbie Gould,0,3,2,Redskins,11.0,K,5,5,1
2013,7,Dan Carpenter,0,3,3,Dolphins,11.0,K,2,2,1
2013,7,Josh Brown,0,3,3,Min,11.0,K,2,2,0
2013,7,Justin Tucker,0,3,3,Steelers,10.0,K,1,1,1
2013,7,Randy Bullock,0,3,3,Chiefs,10.0,K,1,1,1
2013,7,Matt Prater,0,2,2,Colts,9.0,K,3,3,1
2013,7,Stephen Gostkowski,0,2,2,Jets,9.0,K,3,3,1
2013,7,Kai Forbath,0,1,1,Bears,9.0,K,6,6,0
2013,7,Greg Zuerlein,0,2,2,Panthers,7.0,K,1,1,1
2013,7,Phil Dawson,0,1,1,Titans,7.0,K,4,4,1
2013,7,Billy Cundiff,0,2,2,Packers,7.0,K,1,1,1
2013,7,Mason Crosby,0,2,1,Browns,7.0,K,4,4,0
2013,7,Matt Bryant,0,1,1,Buccaneers,7.0,K,4,4,0
2013,7,Josh Scobee,0,2,2,Chargers,6.0,K,0,0,0
2013,7,Nick Novak,0,1,1,Jaguars,6.0,K,3,3,1
2013,7,David Akers,0,2,1,Bengals,6.0,K,3,3,0
2013,7,Ryan Succop,0,1,1,Texans,5.0,K,2,2,0
2013,7,Rob Bironas,0,1,1,49ers,5.0,K,2,2,0
2013,7,Dan Bailey,0,1,1,Eagles,5.0,K,2,2,1
2013,7,Caleb Sturgis,0,1,0,Bills,3.0,K,3,3,0
2013,7,Alex Henery,0,2,1,Cowboys,3.0,K,0,0,0
2013,7,Blair Walsh,0,1,0,Giants,1.0,K,1,1,1
2013,8,Dan Bailey,2,3,3,Lions,16.0,K,3,3,1
2013,8,Josh Brown,0,5,5,Eagles,15.0,K,0,0,1
2013,8,Mason Crosby,0,3,3,Min,14.0,K,5,5,1
2013,8,Ryan Succop,0,4,3,Browns,11.0,K,2,2,0
2013,8,Nick Folk,1,3,3,Bengals,11.0,K,0,0,1
2013,8,Greg Zuerlein,0,4,3,Seahawks,9.0,K,0,0,0
2013,8,Matt Prater,0,1,1,Redskins,9.0,K,6,6,0
2013,8,Stephen Gostkowski,0,2,2,Dolphins,9.0,K,3,3,0
2013,8,Jay Feely,0,2,2,Falcons,9.0,K,3,3,0
2013,8,Blair Walsh,0,1,1,Packers,7.0,K,4,4,0
2013,8,Caleb Sturgis,1,3,1,Patriots,7.0,K,2,2,1
2013,8,Mike Nugent,0,0,0,Jets,7.0,K,7,7,0
2013,8,Rian Lindell,0,2,2,Panthers,7.0,K,1,1,0
2013,8,Graham Gano,0,1,1,Buccaneers,7.0,K,4,4,1
2013,8,Matt Bryant,0,2,2,Cardinals,7.0,K,1,1,1
2013,8,David Akers,0,1,1,Cowboys,7.0,K,4,4,0
2013,8,Phil Dawson,0,0,0,Jaguars,6.0,K,6,6,1
2013,8,Garrett Hartley,0,2,0,Bills,5.0,K,5,5,0
2013,8,Billy Cundiff,0,1,1,Chiefs,5.0,K,2,2,1
2013,8,Dan Carpenter,0,2,1,Saints,5.0,K,2,2,1
2013,8,Shaun Suisham,0,3,1,Raiders,4.0,K,1,1,1
2013,8,Josh Scobee,0,1,1,49ers,4.0,K,1,1,0
2013,8,Sebastian Janikowski,0,0,0,Steelers,3.0,K,3,3,0
2013,8,Kai Forbath,0,0,0,Broncos,3.0,K,3,3,1
2013,8,Stephen Hauschka,0,0,0,Rams,2.0,K,2,2,1
2013,8,Alex Henery,0,0,0,Giants,1.0,K,1,1,0
2013,8,Steve Weatherford,0,0,0,Eagles,0.0,K,0,0,1
2013,9,Nick Folk,0,4,4,Saints,14.0,K,2,2,0
2013,9,Stephen Gostkowski,0,2,2,Steelers,13.0,K,7,7,0
2013,9,Graham Gano,1,2,2,Falcons,12.0,K,4,4,0
2013,9,Ryan Succop,0,3,3,Bills,11.0,K,2,2,1
2013,9,Mike Nugent,1,2,2,Dolphins,10.0,K,2,2,1
2013,9,Sebastian Janikowski,1,2,2,Eagles,10.0,K,2,2,0
2013,9,Garrett Hartley,1,3,2,Jets,10.0,K,2,2,1
2013,9,Stephen Hauschka,0,2,2,Buccaneers,9.0,K,3,3,0
2013,9,Robbie Gould,0,2,2,Packers,9.0,K,3,3,1
2013,9,Dan Bailey,0,2,2,Min,9.0,K,3,3,0
2013,9,Caleb Sturgis,0,3,2,Bengals,8.0,K,2,2,0
2013,9,Mason Crosby,0,2,2,Bears,8.0,K,2,2,0
2013,9,Adam Vinatieri,0,3,2,Texans,7.0,K,1,1,1
2013,9,Shaun Suisham,0,1,1,Patriots,7.0,K,4,4,1
2013,9,Alex Henery,0,0,0,Raiders,7.0,K,7,7,1
2013,9,Dan Carpenter,0,2,2,Chiefs,7.0,K,1,1,0
2013,9,Justin Tucker,1,1,1,Browns,6.0,K,1,1,1
2013,9,Nick Novak,0,1,1,Redskins,6.0,K,3,3,1
2013,9,Rian Lindell,0,1,1,Seahawks,6.0,K,3,3,1
2013,9,Kai Forbath,0,3,1,Chargers,6.0,K,3,3,0
2013,9,Billy Cundiff,0,1,1,Ravens,6.0,K,3,3,0
2013,9,Randy Bullock,0,4,1,Colts,6.0,K,3,3,0
2013,9,Blair Walsh,0,1,1,Cowboys,5.0,K,3,2,1
2013,9,Matt Bryant,0,1,1,Panthers,4.0,K,1,1,1
2013,9,Rob Bironas,0,0,0,Rams,4.0,K,4,4,1
2013,9,Greg Zuerlein,0,1,0,Titans,3.0,K,3,3,0
2013,10,Stephen Hauschka,1,4,4,Falcons,17.0,K,3,3,1
2013,10,Shaun Suisham,0,3,3,Bills,11.0,K,2,2,0
2013,10,Phil Dawson,1,3,3,Panthers,11.0,K,0,0,0
2013,10,Blair Walsh,0,2,2,Redskins,10.0,K,4,4,0
2013,10,Josh Scobee,0,2,2,Titans,9.0,K,3,3,1
2013,10,Alex Henery,0,3,2,Packers,9.0,K,3,3,1
2013,10,Kai Forbath,0,2,2,Min,9.0,K,3,3,1
2013,10,Jay Feely,0,2,2,Texans,9.0,K,3,3,0
2013,10,Rob Bironas,0,2,2,Jaguars,9.0,K,3,3,0
2013,10,Greg Zuerlein,0,1,1,Colts,8.0,K,5,5,1
2013,10,Justin Tucker,0,2,2,Bengals,8.0,K,2,2,0
2013,10,Nick Novak,0,3,2,Broncos,8.0,K,2,2,0
2013,10,Rian Lindell,0,2,2,Dolphins,8.0,K,2,2,0
2013,10,Sebastian Janikowski,0,2,2,Giants,8.0,K,2,2,1
2013,10,Caleb Sturgis,0,2,2,Buccaneers,7.0,K,1,1,1
2013,10,Garrett Hartley,0,1,0,Cowboys,7.0,K,7,7,0
2013,10,Robbie Gould,0,2,2,Lions,7.0,K,1,1,0
2013,10,Mason Crosby,0,4,2,Eagles,7.0,K,1,1,0
2013,10,Graham Gano,1,2,1,49ers,6.0,K,1,1,1
2013,10,Randy Bullock,0,2,1,Cardinals,6.0,K,3,3,1
2013,10,Matt Bryant,1,1,1,Seahawks,6.0,K,1,1,0
2013,10,Josh Brown,0,1,1,Raiders,6.0,K,3,3,0
2013,10,Mike Nugent,0,2,1,Ravens,5.0,K,2,2,1
2013,10,Dan Bailey,0,1,1,Saints,5.0,K,2,2,1
2013,10,Matt Prater,0,0,0,Chargers,4.0,K,4,4,1
2013,10,Dan Carpenter,0,1,1,Steelers,4.0,K,1,1,1
2013,10,David Akers,0,1,0,Bears,3.0,K,3,3,1
2013,11,Adam Vinatieri,1,3,3,Titans,14.0,K,3,3,1
2013,11,Shaun Suisham,0,3,3,Lions,13.0,K,4,4,0
2013,11,Stephen Hauschka,1,2,2,Min,13.0,K,5,5,0
2013,11,Dan Carpenter,0,3,3,Jets,13.0,K,4,4,0
2013,11,Randy Bullock,1,3,3,Raiders,13.0,K,2,2,0
2013,11,Nick Novak,1,3,3,Dolphins,12.0,K,1,1,1
2013,11,Matt Prater,1,3,2,Chiefs,11.0,K,3,3,0
2013,11,Mike Nugent,0,2,2,Browns,11.0,K,5,5,0
2013,11,Rian Lindell,0,3,2,Falcons,11.0,K,5,5,0
2013,11,Garrett Hartley,0,3,3,49ers,11.0,K,2,2,0
2013,11,Robbie Gould,0,3,3,Ravens,11.0,K,2,2,0
2013,11,Justin Tucker,1,2,2,Bears,10.0,K,2,2,1
2013,11,Phil Dawson,1,2,2,Saints,10.0,K,2,2,1
2013,11,Jay Feely,0,2,2,Jaguars,9.0,K,3,3,1
2013,11,Mason Crosby,1,2,2,Giants,9.0,K,1,1,1
2013,11,Josh Brown,0,2,2,Packers,9.0,K,3,3,0
2013,11,Rob Bironas,0,2,2,Colts,9.0,K,3,3,0
2013,11,David Akers,0,2,2,Steelers,9.0,K,3,3,1
2013,11,Blair Walsh,0,2,2,Seahawks,8.0,K,2,2,1
2013,11,Caleb Sturgis,0,2,2,Chargers,8.0,K,2,2,0
2013,11,Stephen Gostkowski,0,2,2,Panthers,8.0,K,2,2,1
2013,11,Billy Cundiff,0,2,2,Bengals,8.0,K,2,2,1
2013,11,Matt Bryant,0,2,2,Buccaneers,8.0,K,2,2,1
2013,11,Alex Henery,0,1,1,Redskins,6.0,K,3,3,0
2013,11,Graham Gano,0,1,1,Patriots,6.0,K,3,3,0
2013,11,Ryan Succop,0,1,1,Broncos,5.0,K,2,2,1
2013,11,Sebastian Janikowski,0,1,0,Texans,4.0,K,4,4,1
2013,11,Josh Scobee,0,1,0,Cardinals,2.0,K,2,2,0
2013,11,Nick Folk,0,1,0,Bills,2.0,K,2,2,1
2013,11,Michael Koenen,0,0,0,Falcons,0.0,K,0,0,0
2013,11,Sam Martin,0,0,0,Steelers,-1.0,K,0,0,1
2013,12,Jay Feely,1,5,4,Colts,18.0,K,4,4,0
2013,12,Justin Tucker,1,4,4,Jets,15.0,K,1,1,0
2013,12,Sebastian Janikowski,1,6,4,Titans,15.0,K,1,1,0
2013,12,Blair Walsh,0,4,4,Packers,14.0,K,2,2,1
2013,12,Nick Novak,0,2,2,Chiefs,11.0,K,5,5,1
2013,12,Rob Bironas,0,3,3,Raiders,11.0,K,2,2,1
2013,12,Greg Zuerlein,0,2,2,Bears,10.0,K,4,4,0
2013,12,Caleb Sturgis,0,4,3,Panthers,10.0,K,1,1,0
2013,12,Stephen Gostkowski,0,2,2,Broncos,10.0,K,4,4,0
2013,12,Graham Gano,1,3,2,Dolphins,10.0,K,2,2,1
2013,12,Shaun Suisham,0,2,2,Browns,9.0,K,3,3,1
2013,12,Josh Scobee,1,3,2,Texans,9.0,K,1,1,1
2013,12,Phil Dawson,0,2,2,Redskins,9.0,K,3,3,1
2013,12,Ryan Succop,0,1,1,Chargers,8.0,K,5,5,0
2013,12,Mason Crosby,0,2,2,Min,8.0,K,2,2,0
2013,12,Matt Prater,0,1,1,Patriots,7.0,K,4,4,1
2013,12,Matt Bryant,0,3,2,Saints,7.0,K,1,1,0
2013,12,Josh Brown,0,2,2,Cowboys,7.0,K,1,1,0
2013,12,Rian Lindell,0,3,1,Lions,6.0,K,3,3,1
2013,12,Kai Forbath,0,2,2,49ers,6.0,K,0,0,0
2013,12,Randy Bullock,0,2,2,Jaguars,6.0,K,0,0,0
2013,12,Dan Bailey,0,1,1,Giants,6.0,K,3,3,1
2013,12,Garrett Hartley,0,1,1,Falcons,5.0,K,2,2,1
2013,12,Adam Vinatieri,0,1,1,Cardinals,3.0,K,0,0,1
2013,12,Robbie Gould,0,0,0,Rams,3.0,K,3,3,1
2013,12,Nick Folk,0,1,1,Ravens,3.0,K,0,0,1
2013,12,Billy Cundiff,0,2,1,Steelers,3.0,K,0,0,0
